Success factors,Standardized Beta N=639,Standardized Beta N1=310 Validation,Standardized Beta N2=311 Other IT projects
Team atmosphere,0.342,0.307,0.362
User involvement,0.265,0.265,0.275
Strength of projectleader,0.196,0.205,0.182
Availability of team for this specific project,0.194,0.182,0.194
Sales activities,0.17,0.202,0.148
Creative contribution of team,0.118,0.061,0.184
Distance of team,0.117,0.109,0.145
Milestones / project structure,0.081,0.1,0.069
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,